iter	Passed	Remaining
0	0	49
1	1	49
2	1	45
3	1	41
4	2	39
5	2	39
6	2	38
7	3	38
8	3	37
9	4	38
10	4	40
11	5	40
12	6	42
13	6	40
14	6	39
15	7	38
16	7	38
17	8	37
18	8	37
19	10	42
20	11	42
21	11	42
22	13	45
23	14	44
24	14	44
25	15	44
26	16	43
27	16	42
28	16	41
29	17	40
30	17	39
31	18	38
32	18	37
33	19	37
34	19	36
35	20	36
36	21	35
37	21	35
38	21	34
39	22	33
40	22	32
41	22	31
42	23	31
43	24	30
44	24	30
45	25	30
46	26	29
47	26	28
48	27	28
49	27	27
50	28	27
51	29	27
52	30	27
53	31	26
54	31	25
55	31	25
56	32	24
57	32	23
58	33	23
59	33	22
60	34	21
61	34	21
62	35	20
63	36	20
64	37	19
65	37	19
66	38	18
67	38	18
68	39	17
69	39	17
70	40	16
71	41	16
72	42	15
73	42	15
74	43	14
75	43	13
76	43	13
77	44	12
78	44	11
79	45	11
80	46	10
81	46	10
82	46	9
83	47	9
84	47	8
85	48	7
86	48	7
87	48	6
88	49	6
89	49	5
90	50	5
91	51	4
92	52	3
93	52	3
94	53	2
95	53	2
96	55	1
97	56	1
98	56	0
99	56	0
