iter	Passed	Remaining
0	221	221211
1	222	110905
2	222	74099
3	223	55692
4	224	44649
5	225	37286
6	225	32028
7	226	28082
8	227	25014
9	227	22560
10	228	20552
11	229	18927
12	230	17522
13	232	16402
14	233	15347
15	235	14490
16	237	13721
17	238	12984
18	238	12324
19	239	11731
20	240	11193
21	240	10705
22	241	10259
23	242	9852
24	243	9478
25	244	9159
26	246	8872
27	247	8575
28	248	8311
29	249	8051
30	251	7851
31	252	7625
32	252	7407
33	253	7202
34	254	7009
35	254	6820
36	256	6663
37	256	6500
38	257	6349
39	382	9187
40	385	9025
41	388	8856
42	392	8725
43	421	9165
44	507	10760
45	507	10531
46	508	10310
47	509	10099
48	530	10302
49	531	10103
50	533	9921
51	534	9745
52	539	9643
53	541	9484
54	542	9323
55	543	9166
56	544	9014
57	545	8863
58	567	9049
59	568	8900
60	568	8756
61	569	8616
62	570	8481
63	570	8350
64	571	8223
65	572	8100
66	573	7981
67	573	7865
68	574	7752
69	575	7646
70	576	7537
71	576	7435
72	577	7336
73	578	7235
74	579	7143
75	591	7193
76	592	7103
77	593	7013
78	595	6938
79	595	6852
80	596	6768
81	597	6688
82	597	6604
83	598	6526
84	599	6451
85	600	6377
86	602	6319
87	602	6248
88	603	6178
89	605	6118
90	606	6056
91	607	5993
92	608	5929
93	608	5868
94	610	5817
95	611	5757
96	612	5699
97	631	5810
98	637	5801
99	639	5752
100	662	5898
101	663	5842
102	682	5942
103	682	5884
104	683	5826
105	684	5770
106	689	5757
107	693	5725
108	695	5686
109	698	5653
110	699	5601
111	700	5551
112	700	5501
113	701	5453
114	702	5406
115	703	5363
116	704	5317
117	706	5280
118	707	5236
119	707	5191
120	708	5148
121	709	5104
122	710	5062
123	710	5021
124	711	4979
125	712	4939
126	712	4897
127	713	4861
128	714	4822
129	714	4782
130	715	4743
131	715	4706
132	718	4681
133	719	4647
134	719	4611
135	720	4575
136	721	4543
137	721	4509
138	722	4476
139	724	4450
140	737	4491
141	737	4457
142	739	4430
143	740	4403
144	741	4372
145	742	4341
146	742	4311
147	743	4279
148	781	4462
149	783	4440
150	888	4997
151	889	4964
152	890	4930
153	895	4917
154	895	4883
155	896	4850
156	897	4820
157	898	4789
158	900	4762
159	906	4757
160	906	4724
161	1045	5406
162	1046	5373
163	1047	5339
164	1048	5306
165	1049	5270
166	1049	5235
167	1049	5199
168	1050	5165
169	1050	5130
170	1051	5097
171	1052	5065
172	1052	5031
173	1054	5005
174	1056	4978
175	1056	4948
176	1057	4917
177	1058	4888
178	1059	4860
179	1060	4831
180	1061	4801
181	1061	4772
182	1119	4998
183	1120	4967
184	1120	4937
185	1121	4908
186	1123	4886
187	1124	4857
188	1125	4828
189	1125	4799
190	1191	5044
191	1191	5015
192	1192	4986
193	1193	4957
194	1197	4942
195	1198	4914
196	1199	4888
197	1201	4868
198	1202	4840
199	1203	4813
200	1204	4786
201	1235	4880
202	1236	4852
203	1236	4825
204	1237	4798
205	1238	4772
206	1238	4746
207	1239	4720
208	1243	4704
209	1250	4704
210	1251	4678
